Trade Date,Value
2022-08-15,-5186451.0
2022-08-16,-1519688.0
2022-08-22,-4855745.0
2022-08-30,-131170.0
2022-09-14,-130499.0
2022-09-29,-117066.0
2022-10-17,-116670.0
2022-11-01,-35190.0
2022-11-15,-5342730.0
2022-11-17,-164599.0
2022-11-21,-3250144.0
2023-02-02,-621325.0
2023-02-06,-411600.0
2023-02-15,-5179188.0
2023-02-21,-3272382.0
2023-03-01,-375200.0
2023-03-21,-230691.0
2023-04-03,-409000.0
2023-04-04,-104461.0
2023-04-19,-106048.0
2023-05-01,-420000.0
2023-05-04,-106776.0
2023-05-15,-1670463.0
2023-05-22,-7194688.0
2023-05-25,115.0
2023-06-01,-482440.0
2023-06-06,-124951.0
2023-06-21,-126891.0
2023-07-03,-523720.0
2023-07-06,-128952.0
2023-07-24,-129266.0
2023-08-01,-534200.0
2023-08-04,-7050000.0
2023-08-15,-10407835.0
2023-08-21,-8315568.0
2023-09-01,-557920.0
2023-09-05,-136890.0
2023-09-14,-6213886.0
2023-09-20,-135140.0
2023-10-02,-508800.0
2023-10-05,-125385.0
2023-10-19,-129270.0
2023-11-01,-535920.0
2023-11-02,-138900.0
2023-11-15,-2193993.0
2023-11-17,-176681.0
2023-11-21,-11570679.0
2023-12-01,-584000.0
2023-12-06,-146925.0
2023-12-21,-153515.0
2024-01-04,-145120.0
2024-01-18,-153320.0
2024-02-01,-162360.0
2024-02-07,-2045594691.0
2024-02-09,-2081284957.0
2024-02-12,-2502500.0
2024-02-13,-2033604145.0
2024-02-15,-2150049434.0
2024-02-16,-8432500.0
2024-02-21,-11229783.0
2024-02-29,-1007050.0
2024-03-01,-618345.0
2024-03-04,-10000080.0
2024-03-07,-175560.0
2024-03-21,-178790.0
2024-04-01,-632555.0
2024-04-04,-183265.0
2024-04-18,-180190.0
2024-05-01,-631012.0
2024-05-06,-186220.0
2024-05-09,-1000160.0
2024-05-15,-2679616.0
2024-05-21,-10583282.0
2024-06-03,-620524.0
